terrain_var,terrain_stratum,model_a,model_b,n_matched,mean_delta_abs_error,mean_delta_abs_error_ci95_low,mean_delta_abs_error_ci95_high,median_delta_abs_error,mean_delta_sq_error,rmse_a,rmse_b,rmse_delta_a_minus_b,bias_a,bias_b,bias_delta_a_minus_b,fraction_model_a_better_abs_error
elevation,high,model6_rf,model8_process,187,-0.2956265852413075,-1.0234100442407021,0.5155509208934211,-0.5801868438720739,-2.5024803257981625,6.6792692897600086,6.86404535029667,-0.1847760605366613,0.8567531983482645,3.469608574117568,-2.6128553757693043,0.5882352941176471
elevation,low,model6_rf,model8_process,192,0.17550861438115453,-0.711636363886516,1.054906822097142,-0.27187490463256836,0.7153558852477545,6.484925275980298,6.429533416181954,0.05539185979834382,-1.2926490664482115,2.5864429612954463,-3.8790920277436576,0.5208333333333334
elevation,mid,model6_rf,model8_process,181,0.15153187704349738,-0.46492284406198064,0.8849147840022485,0.31532764434814275,2.857901040398424,6.253419909340854,6.020578005652127,0.23284190368872704,-1.2398889025271926,1.8566989582546505,-3.0965878607818436,0.43646408839779005
slope,high,model6_rf,model8_process,187,0.23052147951993074,-0.2506167034727822,0.6884446760761112,0.378044128417967,3.12075128701221,5.917966799084811,5.648148346852968,0.269818452231843,-0.5449947244980756,1.096223211033459,-1.6412179355315346,0.42780748663101603
slope,low,model6_rf,model8_process,189,-0.1834534478566001,-1.024225958501572,0.7625566077844393,-0.9179363250732422,1.1344496762778065,7.1922393139601475,7.11293586875322,0.07930344520692767,-0.8413745002141073,3.636144419069643,-4.477518919283751,0.5925925925925926
slope,mid,model6_rf,model8_process,184,-0.014087297605431814,-0.7899495579400033,0.8035000001527983,-0.29714927673340163,-3.3224287072410936,6.242041380838192,6.502730911496911,-0.2606895306587198,-0.27968407610188356,3.20245286796404,-3.4821369440659233,0.5271739130434783
northness,high,model6_rf,model8_process,181,1.066981799299546,0.10759380189413063,1.9714056991387678,0.920557975769043,15.515489853066454,7.004359282554365,5.791852821510491,1.2125064610438736,-2.9080165863037113,1.1836389446785438,-4.091655530982255,0.4143646408839779
northness,low,model6_rf,model8_process,191,-0.5452554373216877,-1.14608637435591,0.04954147018315692,-0.47853755950927734,-9.390448589221522,6.271400433238014,6.980036674920804,-0.7086362416827896,0.4173025720406577,3.4491050640325898,-3.031802491991932,0.5497382198952879
northness,mid,model6_rf,model8_process,188,-0.44221896212151723,-0.9426759038739084,0.03882960858787434,-0.5354494094848619,-4.404592476107921,6.146640781298755,6.495058534796502,-0.3484177534977473,0.7140986533875163,3.2364821657221374,-2.5223835123346205,0.5797872340425532
eastness,high,model6_rf,model8_process,182,0.5444085634671727,-0.3728579114385551,1.5338441106009353,0.8647709846496587,6.625261078708091,6.931500161802405,6.435870835742329,0.4956293260600759,-2.3159504586523703,2.0113796695248114,-4.327330128177182,0.44505494505494503
